stud_num,course_code,major_code,,
1,IN10, , , 
2,IN20,IN20MJR-BUSPMGT, , 
3,IN20,IN20MJR-BUSPMGT, , 
4,IN20,IN20MJR-INFOMGT, , 
5,IN20,IN20MJR-BUSPMGT, , 
6,IN20,IN20MJR-INFOMGT, , 
7,IN20,IN20MJR-INFOMGT, , 
8,IN20,IN20MJR-BUSPMGT, , 
9,IN21,IN20MJR-NETWORK, , 
10,IN21,IN20MJR-DATASC, , 
11,IN21,IN20MJR-INFOMGT, , 
12,IN21,IN20MJR-USEREXP, , 
13,IN21,IN20MJR-USEREXP, , 
14,IN21,IN20MJR-COMPSC, , 
15,IN21,IN20MJR-ENTSYS, , 
16,IN21,IN20MJR-ENTSYS, , 
17,IN21,IN20MJR-INFOMGT, , 
18,IN21,IN20MJR-DATASC, , 
19,IN21,IN20MJR-COMPSC, , 
20,IN23, , , 
21,IN23, , , 
22,IN26, , , 
23,IN26, , , 
24,IN26, , , 
25,IN26, , , 
26,IN26, , , 
27,IN26, , , 
28,IN26, , , 
29,IN26, , , 
30,IN26, , , 
31,IN26, , , 
32,IN26, , , 
33,IN26, , , 
34,IN26, , , 
35,IN26, , , 
36,IN26, , , 
37,IN26, , , 
38,IN27, , , 
39,IN27, , , 
40,IN27, , , 
41,IN27, , , 
42,IN27, , , 
43,IN27, , , 
44,IN27, , , 
45,IN27, , , 
46,IN27, , , 
47,IN27, , , 
48,IN27, , , 
49,IN27, , , 
50,IN27, , , 
51,IN27, , , 
52,IN27, , , 
53,IN27, , , 
54,IN27, , , 
55,IN27, , , 
56,IN27, , , 
57,IN27, , , 
58,IN27, , , 
59,U082, , , 
60,U082, , , 
61,U094, , ,
